%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
11168000000,109,11168000000,bluerov2/pressure_link,1030.8648654045435,9.0
11268000000,110,11268000000,bluerov2/pressure_link,1030.8657678734135,9.0
11368000000,111,11368000000,bluerov2/pressure_link,1030.865431629421,9.0
11468000000,112,11468000000,bluerov2/pressure_link,1030.8649727374097,9.0
11568000000,113,11568000000,bluerov2/pressure_link,1030.8652871867607,9.0
11668000000,114,11668000000,bluerov2/pressure_link,1030.8650687239428,9.0
11768000000,115,11768000000,bluerov2/pressure_link,1030.8658142468867,9.0
11868000000,116,11868000000,bluerov2/pressure_link,1030.8650748218847,9.0
11968000000,117,11968000000,bluerov2/pressure_link,1030.8649778254123,9.0
12068000000,118,12068000000,bluerov2/pressure_link,1030.8654213705595,9.0
12168000000,119,12168000000,bluerov2/pressure_link,1030.8644531632929,9.0
12268000000,120,12268000000,bluerov2/pressure_link,1030.8648191411896,9.0
12368000000,121,12368000000,bluerov2/pressure_link,1030.8652218289967,9.0
12468000000,122,12468000000,bluerov2/pressure_link,1030.8650458858776,9.0
12568000000,123,12568000000,bluerov2/pressure_link,1030.8651411847177,9.0
12668000000,124,12668000000,bluerov2/pressure_link,1030.8653305684861,9.0
12768000000,125,12768000000,bluerov2/pressure_link,1030.8653436686748,9.0
12868000000,126,12868000000,bluerov2/pressure_link,1030.8649358589798,9.0
12968000000,127,12968000000,bluerov2/pressure_link,1030.8651384701277,9.0
13068000000,128,13068000000,bluerov2/pressure_link,1030.8653190283396,9.0
13168000000,129,13168000000,bluerov2/pressure_link,1030.8656026001502,9.0
13268000000,130,13268000000,bluerov2/pressure_link,1030.8655578981839,9.0
13368000000,131,13368000000,bluerov2/pressure_link,1030.865495689891,9.0
13468000000,132,13468000000,bluerov2/pressure_link,1030.8655116759037,9.0
13568000000,133,13568000000,bluerov2/pressure_link,1030.8655702251,9.0
13668000000,134,13668000000,bluerov2/pressure_link,1030.8655242723573,9.0
13768000000,135,13768000000,bluerov2/pressure_link,1030.865432517749,9.0
13868000000,136,13868000000,bluerov2/pressure_link,1030.8658229057635,9.0
13968000000,137,13968000000,bluerov2/pressure_link,1030.8653375664098,9.0
14068000000,138,14068000000,bluerov2/pressure_link,1030.8653361685374,9.0
14168000000,139,14168000000,bluerov2/pressure_link,1030.865792307397,9.0
14268000000,140,14268000000,bluerov2/pressure_link,1030.864957986248,9.0
14368000000,141,14368000000,bluerov2/pressure_link,1030.8655119980945,9.0
14468000000,142,14468000000,bluerov2/pressure_link,1030.864822149132,9.0
14568000000,143,14568000000,bluerov2/pressure_link,1030.865632335272,9.0
14668000000,144,14668000000,bluerov2/pressure_link,1030.8652901470923,9.0
14768000000,145,14768000000,bluerov2/pressure_link,1030.8654911796625,9.0
14868000000,146,14868000000,bluerov2/pressure_link,1030.8653762542444,9.0
14968000000,147,14968000000,bluerov2/pressure_link,1030.865492928872,9.0
15068000000,148,15068000000,bluerov2/pressure_link,1030.865339032152,9.0
15168000000,149,15168000000,bluerov2/pressure_link,1030.8654763955567,9.0
15268000000,150,15268000000,bluerov2/pressure_link,1030.86523511856,9.0
15368000000,151,15368000000,bluerov2/pressure_link,1030.8652489076178,9.0
15468000000,152,15468000000,bluerov2/pressure_link,1030.865286615157,9.0
15568000000,153,15568000000,bluerov2/pressure_link,1030.8653428292832,9.0
15668000000,154,15668000000,bluerov2/pressure_link,1030.8655249672668,9.0
15768000000,155,15768000000,bluerov2/pressure_link,1030.865619816347,9.0
15868000000,156,15868000000,bluerov2/pressure_link,1030.8653256114253,9.0
15968000000,157,15968000000,bluerov2/pressure_link,1030.8655527651824,9.0
16068000000,158,16068000000,bluerov2/pressure_link,1030.8656171566854,9.0
16168000000,159,16168000000,bluerov2/pressure_link,1030.8657017014546,9.0
16268000000,160,16268000000,bluerov2/pressure_link,1030.865480786674,9.0
16368000000,161,16368000000,bluerov2/pressure_link,1030.865525682787,9.0
16468000000,162,16468000000,bluerov2/pressure_link,1030.8655117394326,9.0
16568000000,163,16568000000,bluerov2/pressure_link,1030.86515078913,9.0
16668000000,164,16668000000,bluerov2/pressure_link,1030.8654067369478,9.0
16768000000,165,16768000000,bluerov2/pressure_link,1030.8653917629736,9.0
16868000000,166,16868000000,bluerov2/pressure_link,1030.8655445455668,9.0
16968000000,167,16968000000,bluerov2/pressure_link,1030.8657042338814,9.0
17068000000,168,17068000000,bluerov2/pressure_link,1030.865576919403,9.0
17168000000,169,17168000000,bluerov2/pressure_link,1030.8651665201469,9.0
17268000000,170,17268000000,bluerov2/pressure_link,1030.865157185768,9.0
17368000000,171,17368000000,bluerov2/pressure_link,1030.8653210489645,9.0
17468000000,172,17468000000,bluerov2/pressure_link,1030.8653097567733,9.0
17568000000,173,17568000000,bluerov2/pressure_link,1030.8651389111842,9.0
17668000000,174,17668000000,bluerov2/pressure_link,1030.865237920884,9.0
17768000000,175,17768000000,bluerov2/pressure_link,1030.86527477989,9.0
