%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
3502000000,34,3502000000,bluerov2/pressure_link,1032.1414147441542,9.0
3602000000,35,3602000000,bluerov2/pressure_link,1032.2625373570363,9.0
3702000000,36,3702000000,bluerov2/pressure_link,1032.465880957894,9.0
3802000000,37,3802000000,bluerov2/pressure_link,1032.7572380290073,9.0
3902000000,38,3902000000,bluerov2/pressure_link,1033.1472079630553,9.0
4002000000,39,4002000000,bluerov2/pressure_link,1033.629104057598,9.0
4102000000,40,4102000000,bluerov2/pressure_link,1034.192790003447,9.0
4202000000,41,4202000000,bluerov2/pressure_link,1034.8204339030792,9.0
4300000000,42,4302000000,bluerov2/pressure_link,1035.4883365774313,9.0
4402000000,43,4402000000,bluerov2/pressure_link,1036.171745048824,9.0
4502000000,44,4502000000,bluerov2/pressure_link,1036.8480260717818,9.0
4602000000,45,4602000000,bluerov2/pressure_link,1037.489202171259,9.0
4702000000,46,4702000000,bluerov2/pressure_link,1038.068244594278,9.0
4802000000,47,4802000000,bluerov2/pressure_link,1038.5628293304849,9.0
4902000000,48,4902000000,bluerov2/pressure_link,1038.9623313304135,9.0
5002000000,49,5002000000,bluerov2/pressure_link,1039.2590728130374,9.0
5102000000,50,5102000000,bluerov2/pressure_link,1039.4494896094775,9.0
5202000000,51,5202000000,bluerov2/pressure_link,1039.537956028926,9.0
5302000000,52,5302000000,bluerov2/pressure_link,1039.532763273095,9.0
5402000000,53,5402000000,bluerov2/pressure_link,1039.457273379881,9.0
5502000000,54,5502000000,bluerov2/pressure_link,1039.3322068773628,9.0
5602000000,55,5602000000,bluerov2/pressure_link,1039.17697460451,9.0
5702000000,56,5702000000,bluerov2/pressure_link,1039.0017466150093,9.0
5802000000,57,5802000000,bluerov2/pressure_link,1038.8108958790465,9.0
5902000000,58,5902000000,bluerov2/pressure_link,1038.6051126213717,9.0
6002000000,59,6002000000,bluerov2/pressure_link,1038.382084547168,9.0
6102000000,60,6102000000,bluerov2/pressure_link,1038.1364765340213,9.0
6202000000,61,6202000000,bluerov2/pressure_link,1037.862673387863,9.0
6302000000,62,6302000000,bluerov2/pressure_link,1037.5577409414725,9.0
6402000000,63,6402000000,bluerov2/pressure_link,1037.2230082423512,9.0
6502000000,64,6502000000,bluerov2/pressure_link,1036.8578978925334,9.0
6602000000,65,6602000000,bluerov2/pressure_link,1036.4664001968856,9.0
6702000000,66,6702000000,bluerov2/pressure_link,1036.052418744122,9.0
6802000000,67,6802000000,bluerov2/pressure_link,1035.6283799162336,9.0
6902000000,68,6902000000,bluerov2/pressure_link,1035.2054901160561,9.0
7002000000,69,7002000000,bluerov2/pressure_link,1034.7947882266349,9.0
7102000000,70,7102000000,bluerov2/pressure_link,1034.4054232965632,9.0
7202000000,71,7202000000,bluerov2/pressure_link,1034.0425845141303,9.0
7302000000,72,7302000000,bluerov2/pressure_link,1033.7164728509113,9.0
7402000000,73,7402000000,bluerov2/pressure_link,1033.4313145556807,9.0
7502000000,74,7502000000,bluerov2/pressure_link,1033.1864602390142,9.0
7602000000,75,7602000000,bluerov2/pressure_link,1032.974764029847,9.0
7702000000,76,7702000000,bluerov2/pressure_link,1032.799362017851,9.0
7802000000,77,7802000000,bluerov2/pressure_link,1032.6638577464298,9.0
7902000000,78,7902000000,bluerov2/pressure_link,1032.5602782649712,9.0
8002000000,79,8002000000,bluerov2/pressure_link,1032.4800138139442,9.0
8102000000,80,8102000000,bluerov2/pressure_link,1032.4218128691246,9.0
8202000000,81,8202000000,bluerov2/pressure_link,1032.3803712648362,9.0
8302000000,82,8302000000,bluerov2/pressure_link,1032.346764487965,9.0
